DOI,Num_Stereo_Conflicts,Shared_Smiles
acs.oprd.6b00156,0,[]
op990196r,0,[]
op5000094,0,[]
acs.oprd.5b00014,0,[]
op5001258,0,[]
op5001463,0,[]
op5001513,0,[]
op034028h,4,"[{'CC(=O)NC[C@H](O)CCl'}, {'CC(=O)NC[C@H]1CO1'}, {'CC1(C)C2CC[C@@]1(CS(=O)(=O)O)C(=O)C2'}, {'CC1=NC[C@H](CO)O1'}, {'CC(=O)NCC(O)CCl'}, {'CC(=O)NCC1CO1'}, {'CC1(C)[C@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2'}, {'CC1=NCC(CO)O1'}]"
acs.oprd.6b00210,0,[]
op0501287,0,[]
op5002353,0,[]
op5003402,0,[]
acs.oprd.6b00231,0,[]
acs.oprd.5b00023,0,[]
op050024w,0,[]
op4000384,0,[]
acs.oprd.3c00507,0,[]
acs.oprd.3c00087,0,[]
acs.oprd.3c00056,0,[]
acs.oprd.2c00132,0,[]
acs.oprd.6b00207,0,[]
op034060b,0,[]
acs.oprd.1c00312,0,[]
acs.oprd.4c00243,0,[]
acs.oprd.4c00319,0,[]
acs.oprd.5b00007,0,[]
acs.oprd.5b00027,0,[]
acs.oprd.6b00108,0,[]
op5001644,0,[]
op020058t,0,[]
op015504b,0,[]
op025546f,0,[]
op0341420,0,[]
op0499122,0,[]
op050223f,0,[]
op0600963,0,[]
op050222n,0,[]
op800155m,0,[]
op5003215,1,"[{'CCOC(=O)C[C@@H](O)c1ccccc1'}, {'CCOC(=O)C[C@H](O)c1ccccc1'}]"
op100138t,0,[]
op4001687,0,[]
op3002728,0,[]
op4002824,0,[]
op9000725,0,[]
op9002533,0,[]
op100082w,0,[]
op100013m,0,[]
op100247m,0,[]
op100267p,0,[]
op2000699,0,[]
